symbol,session,params,trades,winrate,pf,max_dd,score
ADAUSDT,NY,Conservative,6,0.333,0.5,-4.0,0.01998
ADAUSDT,NY,Standard,5,0.4,0.67,-3.0,0.026800000000000004
ADAUSDT,Asia,Aggressive,12,0.5,1.0,-4.0,0.12
APTUSDT,NY,Conservative,6,0.333,0.5,-3.0,0.01998
APTUSDT,NY,Standard,7,0.571,1.33,-2.0,0.1063202
APTUSDT,Asia,Aggressive,21,0.286,0.4,-15.0,0.048048
ARBUSDT,NY,Conservative,10,0.5,1.0,-2.0,0.1
ARBUSDT,NY,Standard,11,0.455,0.83,-3.0,0.083083
ARBUSDT,Asia,Aggressive,19,0.526,1.11,-6.0,0.22186680000000003
ATOMUSDT,NY,Conservative,4,1.0,4.0,0.0,0.32
ATOMUSDT,NY,Standard,4,1.0,4.0,0.0,0.32
ATOMUSDT,Asia,Aggressive,30,0.333,0.5,-12.0,0.0999
AVAXUSDT,NY,Conservative,10,0.5,1.0,-5.0,0.1
AVAXUSDT,NY,Standard,12,0.583,1.4,-5.0,0.19588799999999998
AVAXUSDT,Asia,Aggressive,29,0.414,0.71,-11.0,0.17048519999999998
BNBUSDT,NY,Conservative,14,0.286,0.4,-10.0,0.032032000000000005
BNBUSDT,NY,Standard,18,0.389,0.64,-11.0,0.0896256
BNBUSDT,Asia,Aggressive,24,0.292,0.41,-17.0,0.057465599999999985
BTCUSDT,NY,Conservative,21,0.571,1.33,-8.0,0.3189606
BTCUSDT,NY,Standard,23,0.522,1.09,-10.0,0.26173080000000004
BTCUSDT,Asia,Aggressive,55,0.473,0.9,-25.0,0.46827
DOGEUSDT,NY,Conservative,16,0.562,1.29,-4.0,0.23199360000000002
DOGEUSDT,NY,Standard,16,0.562,1.29,-4.0,0.23199360000000002
DOGEUSDT,Asia,Aggressive,39,0.564,1.29,-10.0,0.5674968
DOTUSDT,NY,Conservative,8,0.625,1.67,-2.0,0.167
DOTUSDT,NY,Standard,10,0.6,1.5,-3.0,0.18
DOTUSDT,Asia,Aggressive,25,0.72,2.57,-6.0,0.9251999999999999
ETHUSDT,NY,Conservative,15,0.133,0.15,-13.0,0.005985
ETHUSDT,NY,Standard,15,0.2,0.25,-12.0,0.015
ETHUSDT,Asia,Aggressive,52,0.596,1.48,-19.0,0.9173632
FILUSDT,NY,Conservative,4,0.25,0.33,-3.0,0.006600000000000001
FILUSDT,NY,Standard,8,0.5,1.0,-4.0,0.08
FILUSDT,Asia,Aggressive,18,0.167,0.2,-15.0,0.012024000000000002
LINKUSDT,NY,Conservative,12,0.083,0.09,-11.0,0.0017928
LINKUSDT,NY,Standard,9,0.111,0.12,-8.0,0.0023976
LINKUSDT,Asia,Aggressive,27,0.519,1.08,-8.0,0.3026808
LTCUSDT,NY,Conservative,13,0.462,0.86,-5.0,0.10330320000000001
LTCUSDT,NY,Standard,14,0.429,0.75,-5.0,0.09009
LTCUSDT,Asia,Aggressive,48,0.458,0.85,-18.0,0.37372799999999995
NEARUSDT,NY,Conservative,5,0.6,1.5,-2.0,0.09
NEARUSDT,NY,Standard,6,0.5,1.0,-3.0,0.06
NEARUSDT,Asia,Aggressive,10,0.5,1.0,-4.0,0.1
OPUSDT,NY,Conservative,10,0.4,0.67,-4.0,0.05360000000000001
OPUSDT,NY,Standard,9,0.444,0.8,-4.0,0.063936
OPUSDT,Asia,Aggressive,33,0.606,1.54,-9.0,0.6159384
